Users of this data file should acknowledge the National Park Service.
NOTE: There are two parts to this file. Part I contains information on the sites selected.
Part II contains the actual data and begins on line 12.

Part I - Site Information
ABBR,AIRS_SITE_CODE,TIME_ZONE,LONG_DEC,LAT_DEC,ELEV_mMSL,SITE_NAME
JOTR-LH,06-065-9002,,116.1894,34.0181,1265,Joshua Tree National Monument - Lost Horse Ranger Station
LAVO-ML,06-089-3003,PST,121.5764,40.5403,1756,Lassen Volcanic National Park - Manzanita Lake Fire Stn.
PINN-ES,06-069-0003,PST,121.1556,36.4850,335,Pinnacles National Park - SW of East Entrance Stn.
SEKI-LK,06-107-0006,PST,118.7772,36.5658,1890,Sequoia and Kings Canyon National Parks - Lower Kaweah

Part II - Data
ABBR,PAR,DATE,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23,
JOTR-LH,O3_PPB,7/18/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,7/19/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,7/20/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,7/21/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,7/22/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,7/23/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,7/24/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,7/25/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,7/26/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,7/27/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,7/28/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,7/29/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,7/30/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,7/31/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/1/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/2/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/3/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/4/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/5/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/6/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/7/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/8/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/9/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/10/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/11/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/12/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/13/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/14/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/15/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/16/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/17/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/18/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/19/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/20/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/21/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/22/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/23/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/24/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/25/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/26/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/27/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/28/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/29/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/30/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,8/31/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/1/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/2/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/3/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/4/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/5/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/6/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/7/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/8/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/9/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/10/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/11/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/12/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/13/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/14/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/15/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/16/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/17/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/18/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/19/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/20/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/21/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/22/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/23/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/24/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/25/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/26/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-LH,O3_PPB,9/27/1984 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
